entry_identifier,start_date,end_date,source_ip,dest_ip,tool,user_context,command,description,output,comments,operator_name,extra_fields,oplog_id,tags
1544,2023-12-15 21:36:26,2023-12-31 10:12:03,112.130.185.251,84.240.138.150,Cobalt Strike,hendersonjohn@dalton-lam.com,spawn x64 HTTPS,PID 24618,Success,Navigating to a directory,Deborah Hunter,,,
1545,2023-12-19 07:05:59,2024-02-02 21:23:38,63.79.24.226,64.69.133.141,OST,johngross@jones.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Success,Using BBOT safe and passive modules,Deborah Hunter,,,
1546,2024-06-26 23:04:36,2024-06-26 23:04:36.311262,206.0.98.240,174.200.177.205,OST,seanlopez@green-bullock.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Success,Using BBOT port scan,Christy Green,,,
1547,2024-02-12 07:32:09,2024-02-13 09:15:53,206.0.98.240,174.200.177.205,Poseidon,jschmitt@martinez.com,pty ./kubectl get pods,"PID 24116, Callback 48",Success,Conducting container discovery,Christy Green,,,
1548,2024-02-15 12:40:57,2024-02-16 00:03:53,206.0.98.240,35.79.43.142,Poseidon,jschmitt@martinez.com,pty ./kubectl get pods,"PID 24116, Callback 48",Success,Conducting container discovery,Deborah Hunter,,,
1549,2024-02-09 19:53:19,2024-02-15 16:45:36,155.225.136.72,35.79.43.142,Cobalt Strike,sfranklin@gordon.com,inject-assembly 4451 /third/middle.exe,PID 23112,Failed,Injecting assembly into a process,Deborah Hunter,,,
1550,2024-03-20 02:58:41,2024-03-20 02:58:41.094679,63.79.24.226,126.91.142.205,Cobalt Strike,sfranklin@gordon.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Failed,Selecting executable for post-exploitation jobs,Deborah Hunter,,,
1551,2024-04-22 05:13:09,2024-04-22 05:13:09.910664,42.118.146.148,126.91.142.205,Poseidon,johngross@jones.com,"socks {""action"":""start"",""port"":17228}","PID 4150, Callback 98",Success,Attempting to start a SOCKS proxy,Deborah Hunter,,,
1552,2024-06-22 05:06:49,2024-06-22 05:06:49.216728,206.174.99.211,174.200.177.205,Poseidon,fwilliams@mays.com,sleep 38,"PID 16959, Callback 63",Failed,Sleeping a beacon,Christy Green,,,
1553,2024-05-17 21:21:33,2024-05-17 21:21:33.482153,42.118.146.148,174.200.177.205,Poseidon,fwilliams@mays.com,pty whoami,"PID 1514, Callback 14",Success,Obtaining user context,Deborah Hunter,,,
1554,2024-06-18 11:28:12,2024-06-18 11:28:12.613927,112.130.185.251,126.91.142.205,Cobalt Strike,sfranklin@gordon.com,execute-assembly /already/no.exe,PID 27839,Success,Running a local .NET executable,Richard Mcbride,,,
1555,2023-12-17 00:03:19,2024-01-13 18:17:13,206.0.98.240,174.200.177.205,Cobalt Strike,sarahallen@combs-anderson.com,spawn x64 HTTPS,PID 24618,Success,Navigating to a directory,Richard Mcbride,,,
1556,2023-12-16 11:57:33,2024-01-02 04:01:42,155.225.136.72,18.176.66.97,Poseidon,sfranklin@gordon.com,pty ./kubectl get pods,"PID 24116, Callback 48",Success,Conducting container discovery,Deborah Hunter,,,
1557,2024-01-15 09:13:35,2024-01-23 07:02:32,206.174.99.211,64.69.133.141,Poseidon,sarahallen@combs-anderson.com,pty curl,"PID 10472, Callback 96",Success,Attempting to use cURL,Christy Green,,,
1558,2024-02-11 18:33:43,2024-02-13 08:29:37,42.118.146.148,35.79.43.142,Cobalt Strike,sfranklin@gordon.com,pwd,PID 29413,Success,Obtaining current working directory,Christy Green,,,
1559,2024-02-22 08:52:41,2024-02-22 08:52:41.223922,206.174.99.211,64.69.133.141,Poseidon,johngross@jones.com,pty kubectl get namespaces,"PID 1034, Callback 17",Success,Conducting container discovery,Christy Green,,,
1560,2024-02-03 06:00:26,2024-02-10 08:10:08,112.130.185.251,35.79.43.142,Cobalt Strike,jschmitt@martinez.com,spawn x64 HTTPS,PID 24618,Success,Navigating to a directory,Christy Green,,,
1561,2023-12-24 14:13:42,2024-02-05 18:43:43,63.79.24.226,35.79.43.142,Cobalt Strike,jschmitt@martinez.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Success,Selecting executable for post-exploitation jobs,Richard Mcbride,,,
1562,2024-02-17 07:31:11,2024-02-17 07:31:11.288192,163.193.224.188,84.240.138.150,OST,jschmitt@martinez.com,download /form/with/player.mp3,PID: 16216,Failed,Downloading a file,Christy Green,,,
1563,2024-01-26 11:33:08,2024-02-04 19:03:38,163.193.224.188,35.79.43.142,OST,hendersonjohn@dalton-lam.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Failed,Using BBOT safe and passive modules,Richard Mcbride,,,
1564,2024-03-08 19:21:50,2024-03-08 19:21:50.625221,42.118.146.148,157.2.65.239,Cobalt Strike,jschmitt@martinez.com,inject-assembly 4451 /third/middle.exe,PID 23112,Success,Injecting assembly into a process,Christy Green,,,
1565,2024-04-01 17:19:33,2024-04-01 17:19:33.713704,112.130.185.251,174.200.177.205,Poseidon,fwilliams@mays.com,pty ./kubectl can-i create pod,"PID 11021, Callback 4",Success,Conducting container discovery,Christy Green,,,
1566,2024-02-18 22:06:02,2024-02-18 22:06:02.386073,63.79.24.226,84.240.138.150,OST,fwilliams@mays.com,download /form/with/player.mp3,PID: 16216,Failed,Downloading a file,Deborah Hunter,,,
1567,2024-06-21 11:23:23,2024-06-21 11:23:23.652350,155.225.136.72,18.176.66.97,OST,seanlopez@green-bullock.com,ls,PID: 13267,Success,Listing files and directories,Richard Mcbride,,,
1568,2024-02-05 02:50:10,2024-02-14 04:15:43,206.174.99.211,174.200.177.205,OST,fwilliams@mays.com,sleep 99,PID: 27092,Failed,Sleeping a beacon,Richard Mcbride,,,
1569,2024-03-22 04:15:10,2024-03-22 04:15:10.833982,63.79.24.226,64.69.133.141,OST,sarahallen@combs-anderson.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Success,Using BBOT safe and passive modules,Deborah Hunter,,,
1570,2024-06-19 06:31:58,2024-06-19 06:31:58.093972,155.225.136.72,174.200.177.205,OST,hendersonjohn@dalton-lam.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Failed,Using BBOT safe and passive modules,Deborah Hunter,,,
1571,2024-06-04 17:01:59,2024-06-04 17:01:59.371761,163.193.224.188,126.91.142.205,OST,fwilliams@mays.com,cd /maintain/father,PID: 13177,Failed,Navigating to a directory,Richard Mcbride,,,
1572,2024-03-27 13:53:38,2024-03-27 13:53:38.266582,163.193.224.188,35.79.43.142,Poseidon,fwilliams@mays.com,pty curl,"PID 10472, Callback 96",Success,Attempting to use cURL,Deborah Hunter,,,
1573,2024-04-02 03:23:09,2024-04-02 03:23:09.765109,112.130.185.251,18.176.66.97,Poseidon,hendersonjohn@dalton-lam.com,pty ./kubectl get pods,"PID 24116, Callback 48",Success,Conducting container discovery,Christy Green,,,
1574,2024-05-23 09:13:29,2024-05-23 09:13:29.204681,42.118.146.148,64.69.133.141,Cobalt Strike,sfranklin@gordon.com,cd /work/draw/event/training,PID 15662,Failed,Navigating to a directory,Richard Mcbride,,,
1575,2024-01-02 16:35:57,2024-01-24 21:12:36,163.193.224.188,64.69.133.141,Poseidon,johngross@jones.com,pty ./kubectl can-i create pod,"PID 11021, Callback 4",Failed,Conducting container discovery,Christy Green,,,
1576,2024-03-31 08:15:51,2024-03-31 08:15:51.109334,42.118.146.148,64.69.133.141,Poseidon,fwilliams@mays.com,sleep 38,"PID 16959, Callback 63",Success,Sleeping a beacon,Richard Mcbride,,,
1577,2024-02-16 11:03:07,2024-02-16 11:03:07.550957,163.193.224.188,174.200.177.205,OST,hendersonjohn@dalton-lam.com,sleep 99,PID: 27092,Success,Sleeping a beacon,Christy Green,,,
1578,2024-04-01 19:53:13,2024-04-01 19:53:13.026964,206.0.98.240,84.240.138.150,Cobalt Strike,sfranklin@gordon.com,upload /western/board/job.csv,PID 5354,Success,Attempting a file upload,Richard Mcbride,,,
1579,2024-03-05 09:28:35,2024-03-05 09:28:35.524816,206.0.98.240,35.79.43.142,OST,hendersonjohn@dalton-lam.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Failed,Using BBOT port scan,Christy Green,,,
1580,2024-03-04 04:34:46,2024-03-04 04:34:46.663316,42.118.146.148,174.200.177.205,Cobalt Strike,johngross@jones.com,upload /western/board/job.csv,PID 5354,Success,Attempting a file upload,Christy Green,,,
1581,2024-01-19 04:16:37,2024-02-14 02:10:53,42.118.146.148,35.79.43.142,Cobalt Strike,seanlopez@green-bullock.com,sleep 59,PID 14288,Failed,Sleeping a beacon,Deborah Hunter,,,
1582,2024-06-28 09:17:22,2024-06-28 09:17:22.966332,206.174.99.211,35.79.43.142,Cobalt Strike,seanlopez@green-bullock.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Failed,Selecting executable for post-exploitation jobs,Richard Mcbride,,,
1583,2024-01-22 17:40:57,2024-02-05 04:58:35,206.174.99.211,35.79.43.142,Poseidon,sfranklin@gordon.com,pty curl,"PID 10472, Callback 96",Success,Attempting to use cURL,Deborah Hunter,,,
1584,2023-12-28 15:58:27,2024-01-25 15:33:25,42.118.146.148,157.2.65.239,Cobalt Strike,seanlopez@green-bullock.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Failed,Selecting executable for post-exploitation jobs,Deborah Hunter,,,
1585,2024-06-15 16:12:35,2024-06-15 16:12:35.815502,42.118.146.148,64.69.133.141,OST,fwilliams@mays.com,cd /maintain/father,PID: 13177,Success,Navigating to a directory,Christy Green,,,
1586,2024-05-02 02:23:46,2024-05-02 02:23:46.905759,163.193.224.188,35.79.43.142,OST,hendersonjohn@dalton-lam.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Success,Using BBOT safe and passive modules,Christy Green,,,
1587,2023-12-30 15:06:05,2024-01-13 16:54:10,112.130.185.251,35.79.43.142,OST,johngross@jones.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Success,Using BBOT safe and passive modules,Deborah Hunter,,,
1588,2024-06-17 12:42:24,2024-06-17 12:42:24.929796,63.79.24.226,84.240.138.150,OST,hendersonjohn@dalton-lam.com,sleep 99,PID: 27092,Failed,Sleeping a beacon,Christy Green,,,
1589,2024-05-14 05:33:58,2024-05-14 05:33:58.775756,42.118.146.148,126.91.142.205,Cobalt Strike,jschmitt@martinez.com,upload /western/board/job.csv,PID 5354,Failed,Attempting a file upload,Deborah Hunter,,,
1590,2024-03-15 03:14:15,2024-03-15 03:14:15.798451,163.193.224.188,35.79.43.142,Poseidon,sarahallen@combs-anderson.com,pty whoami,"PID 1514, Callback 14",Failed,Obtaining user context,Deborah Hunter,,,
1591,2024-06-13 08:28:37,2024-06-13 08:28:37.962795,206.0.98.240,35.79.43.142,OST,sfranklin@gordon.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Success,Using BBOT port scan,Deborah Hunter,,,
1592,2024-03-25 00:06:58,2024-03-25 00:06:58.179914,163.193.224.188,64.69.133.141,Cobalt Strike,johngross@jones.com,spawn x64 HTTPS,PID 24618,Success,Navigating to a directory,Deborah Hunter,,,
1593,2024-04-02 06:00:39,2024-04-02 06:00:39.451288,163.193.224.188,18.176.66.97,Cobalt Strike,sfranklin@gordon.com,inject-assembly 4451 /third/middle.exe,PID 23112,Success,Injecting assembly into a process,Deborah Hunter,,,
1594,2024-02-19 21:40:53,2024-02-19 21:40:53.467843,206.174.99.211,84.240.138.150,Poseidon,sarahallen@combs-anderson.com,getenv,"PID 25658, Callback 42",Success,Attempting to get environment variables,Richard Mcbride,,,
1595,2024-06-18 01:05:36,2024-06-18 01:05:36.138309,63.79.24.226,174.200.177.205,Cobalt Strike,johngross@jones.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Success,Selecting executable for post-exploitation jobs,Christy Green,,,
1596,2024-06-17 13:34:29,2024-06-17 13:34:29.567735,42.118.146.148,35.79.43.142,Poseidon,sfranklin@gordon.com,sleep 38,"PID 16959, Callback 63",Failed,Sleeping a beacon,Deborah Hunter,,,
1597,2023-12-27 18:44:49,2024-02-02 18:32:58,112.130.185.251,126.91.142.205,OST,hendersonjohn@dalton-lam.com,python3 CloudScraper.py -u aguilar.com >> /deal/more.txt,PID: 22835,Failed,Navigating to a directory,Richard Mcbride,,,
1598,2024-02-03 19:16:18,2024-02-08 06:29:14,206.174.99.211,35.79.43.142,Poseidon,fwilliams@mays.com,pty whoami,"PID 1514, Callback 14",Failed,Obtaining user context,Deborah Hunter,,,
1599,2024-02-06 08:05:31,2024-02-09 14:29:27,206.0.98.240,157.2.65.239,Cobalt Strike,sarahallen@combs-anderson.com,upload /western/board/job.csv,PID 5354,Failed,Attempting a file upload,Christy Green,,,
1600,2024-06-20 07:23:50,2024-06-20 07:23:50.999074,155.225.136.72,84.240.138.150,Poseidon,sfranklin@gordon.com,"socks {""action"":""start"",""port"":17228}","PID 4150, Callback 98",Success,Attempting to start a SOCKS proxy,Deborah Hunter,,,
1601,2024-02-14 18:53:30,2024-02-15 20:03:04,163.193.224.188,157.2.65.239,Poseidon,hendersonjohn@dalton-lam.com,sleep 38,"PID 16959, Callback 63",Success,Sleeping a beacon,Richard Mcbride,,,
1602,2023-12-22 01:35:08,2024-01-06 13:40:23,163.193.224.188,157.2.65.239,Cobalt Strike,fwilliams@mays.com,upload /western/board/job.csv,PID 5354,Success,Attempting a file upload,Christy Green,,,
1603,2024-01-17 17:20:56,2024-02-06 18:10:11,206.174.99.211,64.69.133.141,OST,johngross@jones.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Success,Using BBOT safe and passive modules,Deborah Hunter,,,
1604,2024-04-07 21:31:29,2024-04-07 21:31:29.049842,155.225.136.72,157.2.65.239,Poseidon,jschmitt@martinez.com,pty whoami,"PID 1514, Callback 14",Success,Obtaining user context,Deborah Hunter,,,
1605,2024-02-05 21:41:42,2024-02-13 10:18:06,163.193.224.188,64.69.133.141,OST,johngross@jones.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Failed,Using BBOT safe and passive modules,Deborah Hunter,,,
1606,2024-03-10 00:12:33,2024-03-10 00:12:33.103456,63.79.24.226,64.69.133.141,Cobalt Strike,hendersonjohn@dalton-lam.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Success,Selecting executable for post-exploitation jobs,Deborah Hunter,,,
1607,2024-03-03 12:38:23,2024-03-03 12:38:23.730532,206.174.99.211,84.240.138.150,Cobalt Strike,sfranklin@gordon.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Failed,Selecting executable for post-exploitation jobs,Richard Mcbride,,,
1608,2024-04-21 21:42:14,2024-04-21 21:42:14.621470,42.118.146.148,174.200.177.205,OST,seanlopez@green-bullock.com,ls,PID: 13267,Failed,Listing files and directories,Richard Mcbride,,,
1609,2024-02-11 20:13:21,2024-02-12 11:28:47,42.118.146.148,174.200.177.205,Poseidon,sfranklin@gordon.com,pty whoami,"PID 1514, Callback 14",Failed,Obtaining user context,Deborah Hunter,,,
1610,2024-04-03 09:55:34,2024-04-03 09:55:34.705853,206.0.98.240,126.91.142.205,Poseidon,hendersonjohn@dalton-lam.com,pty kubectl get namespaces,"PID 1034, Callback 17",Failed,Conducting container discovery,Deborah Hunter,,,
1611,2024-01-07 00:49:07,2024-01-07 15:54:42,63.79.24.226,18.176.66.97,Poseidon,sfranklin@gordon.com,"upload {""file_id"":""fba94ea9-392e-47e6-ba14-b926c198995e"",""remote_path""/production/tough.wav"",""overwrite"":false}","PID 10980, Callback 52",Success,Attempting to upload a file,Christy Green,,,
1612,2023-12-27 11:03:18,2024-02-09 20:39:44,155.225.136.72,174.200.177.205,Poseidon,fwilliams@mays.com,pty ./kubectl get secrets,"PID 14863, Callback 32",Success,Conducting container discovery,Christy Green,,,
1613,2024-04-09 20:00:09,2024-04-09 20:00:09.627488,206.174.99.211,174.200.177.205,Poseidon,johngross@jones.com,pty kubectl get namespaces,"PID 1034, Callback 17",Success,Conducting container discovery,Christy Green,,,
1614,2024-04-19 23:37:40,2024-04-19 23:37:40.710247,42.118.146.148,18.176.66.97,Cobalt Strike,johngross@jones.com,cd /work/draw/event/training,PID 15662,Success,Navigating to a directory,Deborah Hunter,,,
1615,2024-02-09 13:06:39,2024-02-10 18:32:49,155.225.136.72,64.69.133.141,Cobalt Strike,jschmitt@martinez.com,shinject 13530 x64 /edge.bin,PID 20047,Failed,Attempting process injection,Deborah Hunter,,,
1616,2024-04-12 23:57:40,2024-04-12 23:57:40.126385,42.118.146.148,84.240.138.150,Cobalt Strike,seanlopez@green-bullock.com,spawn x64 HTTPS,PID 24618,Failed,Navigating to a directory,Deborah Hunter,,,
1617,2024-06-27 19:03:57,2024-06-27 19:03:57.889351,42.118.146.148,157.2.65.239,Cobalt Strike,sarahallen@combs-anderson.com,shinject 13530 x64 /edge.bin,PID 20047,Failed,Attempting process injection,Christy Green,,,
1618,2024-01-11 14:20:25,2024-02-09 10:03:52,163.193.224.188,126.91.142.205,Poseidon,johngross@jones.com,pty whoami,"PID 1514, Callback 14",Success,Obtaining user context,Christy Green,,,
1619,2024-05-16 23:10:09,2024-05-16 23:10:09.590709,63.79.24.226,18.176.66.97,Cobalt Strike,sarahallen@combs-anderson.com,execute-assembly /already/no.exe,PID 27839,Failed,Running a local .NET executable,Deborah Hunter,,,
1620,2024-04-15 18:57:20,2024-04-15 18:57:20.093435,63.79.24.226,84.240.138.150,Poseidon,hendersonjohn@dalton-lam.com,pty ./kubectl get namespaces -n cluster,"PID 459, Callback 68",Success,Conducting container discovery,Christy Green,,,
1621,2024-01-08 12:53:03,2024-01-19 17:53:17,63.79.24.226,64.69.133.141,OST,sfranklin@gordon.com,python3 CloudScraper.py -u aguilar.com >> /deal/more.txt,PID: 22835,Failed,Navigating to a directory,Richard Mcbride,,,
1622,2024-03-12 19:43:30,2024-03-12 19:43:30.694114,206.174.99.211,174.200.177.205,Poseidon,sfranklin@gordon.com,getenv,"PID 25658, Callback 42",Success,Attempting to get environment variables,Christy Green,,,
1623,2024-05-07 21:09:00,2024-05-07 21:09:00.063363,42.118.146.148,126.91.142.205,Poseidon,jschmitt@martinez.com,pty ./kubectl get secrets,"PID 14863, Callback 32",Success,Conducting container discovery,Christy Green,,,
1624,2024-02-17 14:35:27,2024-02-17 14:35:27.945964,112.130.185.251,35.79.43.142,Cobalt Strike,fwilliams@mays.com,inject-assembly 4451 /third/middle.exe,PID 23112,Success,Injecting assembly into a process,Christy Green,,,
1625,2024-06-03 14:40:20,2024-06-03 14:40:20.464630,63.79.24.226,18.176.66.97,OST,sfranklin@gordon.com,python3 CloudScraper.py -u aguilar.com >> /deal/more.txt,PID: 22835,Success,Navigating to a directory,Deborah Hunter,,,
1626,2024-01-03 17:27:54,2024-01-29 21:58:33,163.193.224.188,174.200.177.205,Cobalt Strike,hendersonjohn@dalton-lam.com,execute-assembly /already/no.exe,PID 27839,Failed,Running a local .NET executable,Deborah Hunter,,,
1627,2024-04-04 00:44:28,2024-04-04 00:44:28.263250,163.193.224.188,157.2.65.239,Cobalt Strike,hendersonjohn@dalton-lam.com,cd /work/draw/event/training,PID 15662,Failed,Navigating to a directory,Richard Mcbride,,,
1628,2024-03-27 17:59:47,2024-03-27 17:59:47.362987,163.193.224.188,84.240.138.150,Poseidon,fwilliams@mays.com,pty ./kubectl get namespaces -n cluster,"PID 459, Callback 68",Success,Conducting container discovery,Christy Green,,,
1629,2024-01-04 23:15:11,2024-02-14 19:06:24,206.0.98.240,18.176.66.97,Cobalt Strike,sarahallen@combs-anderson.com,pwd,PID 29413,Success,Obtaining current working directory,Richard Mcbride,,,
1630,2024-06-28 19:57:24,2024-06-28 19:57:24.848001,42.118.146.148,35.79.43.142,Poseidon,hendersonjohn@dalton-lam.com,pty curl,"PID 10472, Callback 96",Success,Attempting to use cURL,Deborah Hunter,,,
1631,2024-05-29 16:42:52,2024-05-29 16:42:52.689890,112.130.185.251,35.79.43.142,OST,sarahallen@combs-anderson.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Failed,Using BBOT safe and passive modules,Christy Green,,,
1632,2024-03-13 09:28:40,2024-03-13 09:28:40.007122,42.118.146.148,64.69.133.141,Cobalt Strike,fwilliams@mays.com,inject-assembly 4451 /third/middle.exe,PID 23112,Success,Injecting assembly into a process,Christy Green,,,
1633,2024-04-08 12:41:09,2024-04-08 12:41:09.603702,155.225.136.72,18.176.66.97,Cobalt Strike,sarahallen@combs-anderson.com,cd /work/draw/event/training,PID 15662,Failed,Navigating to a directory,Christy Green,,,
1634,2024-03-04 08:55:38,2024-03-04 08:55:38.706090,206.0.98.240,18.176.66.97,Poseidon,johngross@jones.com,pty ./kubectl get secrets,"PID 14863, Callback 32",Failed,Conducting container discovery,Richard Mcbride,,,
1635,2024-06-20 20:45:22,2024-06-20 20:45:22.915571,206.0.98.240,84.240.138.150,OST,sfranklin@gordon.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Failed,Using BBOT port scan,Deborah Hunter,,,
1636,2024-02-26 18:00:40,2024-02-26 18:00:40.141578,42.118.146.148,84.240.138.150,Cobalt Strike,johngross@jones.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Success,Selecting executable for post-exploitation jobs,Deborah Hunter,,,
1637,2024-03-27 06:03:13,2024-03-27 06:03:13.055425,206.0.98.240,64.69.133.141,OST,hendersonjohn@dalton-lam.com,python3 CloudScraper.py -u aguilar.com >> /deal/more.txt,PID: 22835,Failed,Navigating to a directory,Richard Mcbride,,,
1638,2024-05-28 21:30:58,2024-05-28 21:30:58.698075,42.118.146.148,64.69.133.141,OST,seanlopez@green-bullock.com,python3 CloudScraper.py -u aguilar.com >> /deal/more.txt,PID: 22835,Failed,Navigating to a directory,Deborah Hunter,,,
1639,2024-03-16 17:09:30,2024-03-16 17:09:30.866945,206.0.98.240,126.91.142.205,OST,sarahallen@combs-anderson.com,cd /maintain/father,PID: 13177,Failed,Navigating to a directory,Richard Mcbride,,,
1640,2024-01-26 04:57:19,2024-02-09 00:49:28,206.0.98.240,84.240.138.150,OST,seanlopez@green-bullock.com,ls,PID: 13267,Failed,Listing files and directories,Christy Green,,,
1641,2024-06-11 23:48:23,2024-06-11 23:48:23.061748,112.130.185.251,84.240.138.150,Poseidon,jschmitt@martinez.com,pty whoami,"PID 1514, Callback 14",Success,Obtaining user context,Christy Green,,,
1642,2024-05-25 02:35:22,2024-05-25 02:35:22.558818,63.79.24.226,174.200.177.205,Poseidon,sarahallen@combs-anderson.com,pty ./kubectl get namespaces -n cluster,"PID 459, Callback 68",Failed,Conducting container discovery,Deborah Hunter,,,
1643,2024-01-13 18:42:28,2024-01-15 04:12:30,206.0.98.240,64.69.133.141,Cobalt Strike,seanlopez@green-bullock.com,spawn x64 HTTPS,PID 24618,Failed,Navigating to a directory,Christy Green,,,
1644,2024-01-12 11:07:08,2024-02-04 00:50:28,206.174.99.211,174.200.177.205,OST,sarahallen@combs-anderson.com,sleep 99,PID: 27092,Failed,Sleeping a beacon,Richard Mcbride,,,
1645,2023-12-30 18:50:44,2024-01-02 10:56:19,112.130.185.251,126.91.142.205,Poseidon,sarahallen@combs-anderson.com,pty ./kubectl get pods,"PID 24116, Callback 48",Failed,Conducting container discovery,Richard Mcbride,,,
1646,2024-05-11 19:46:28,2024-05-11 19:46:28.900673,206.0.98.240,174.200.177.205,Poseidon,johngross@jones.com,getenv,"PID 25658, Callback 42",Failed,Attempting to get environment variables,Richard Mcbride,,,
1647,2024-05-23 05:54:49,2024-05-23 05:54:49.711804,63.79.24.226,64.69.133.141,Poseidon,hendersonjohn@dalton-lam.com,pty ./kubectl get pods,"PID 24116, Callback 48",Success,Conducting container discovery,Christy Green,,,
1648,2024-01-02 07:25:10,2024-02-03 12:09:58,63.79.24.226,174.200.177.205,OST,sarahallen@combs-anderson.com,ls,PID: 13267,Success,Listing files and directories,Christy Green,,,
1649,2024-05-18 06:41:31,2024-05-18 06:41:31.703947,206.174.99.211,18.176.66.97,Poseidon,fwilliams@mays.com,sleep 38,"PID 16959, Callback 63",Failed,Sleeping a beacon,Richard Mcbride,,,
1650,2023-12-27 23:41:47,2024-01-30 13:44:41,42.118.146.148,64.69.133.141,Poseidon,seanlopez@green-bullock.com,pty ./kubectl can-i create pod,"PID 11021, Callback 4",Success,Conducting container discovery,Richard Mcbride,,,
1651,2024-03-18 04:16:11,2024-03-18 04:16:11.424967,112.130.185.251,174.200.177.205,Poseidon,fwilliams@mays.com,pty ./kubectl get pods,"PID 24116, Callback 48",Failed,Conducting container discovery,Richard Mcbride,,,
1652,2024-05-08 12:24:13,2024-05-08 12:24:13.983574,206.0.98.240,84.240.138.150,OST,fwilliams@mays.com,cd /maintain/father,PID: 13177,Failed,Navigating to a directory,Deborah Hunter,,,
1653,2024-06-23 00:46:51,2024-06-23 00:46:51.314849,206.0.98.240,18.176.66.97,Poseidon,johngross@jones.com,"upload {""file_id"":""fba94ea9-392e-47e6-ba14-b926c198995e"",""remote_path""/production/tough.wav"",""overwrite"":false}","PID 10980, Callback 52",Failed,Attempting to upload a file,Richard Mcbride,,,
1654,2024-01-12 22:30:32,2024-02-01 06:53:59,206.174.99.211,18.176.66.97,Poseidon,jschmitt@martinez.com,pty kubectl get namespaces,"PID 1034, Callback 17",Success,Conducting container discovery,Deborah Hunter,,,
1655,2024-01-09 06:32:51,2024-02-11 18:21:54,63.79.24.226,18.176.66.97,OST,johngross@jones.com,download /form/with/player.mp3,PID: 16216,Success,Downloading a file,Deborah Hunter,,,
1656,2024-03-25 02:41:02,2024-03-25 02:41:02.939409,155.225.136.72,64.69.133.141,Poseidon,fwilliams@mays.com,"socks {""action"":""start"",""port"":17228}","PID 4150, Callback 98",Failed,Attempting to start a SOCKS proxy,Richard Mcbride,,,
1657,2024-06-07 01:56:35,2024-06-07 01:56:35.179614,63.79.24.226,64.69.133.141,Poseidon,johngross@jones.com,"upload {""file_id"":""fba94ea9-392e-47e6-ba14-b926c198995e"",""remote_path""/production/tough.wav"",""overwrite"":false}","PID 10980, Callback 52",Failed,Attempting to upload a file,Richard Mcbride,,,
1658,2024-03-16 08:44:30,2024-03-16 08:44:30.257266,155.225.136.72,84.240.138.150,Poseidon,johngross@jones.com,"upload {""file_id"":""fba94ea9-392e-47e6-ba14-b926c198995e"",""remote_path""/production/tough.wav"",""overwrite"":false}","PID 10980, Callback 52",Failed,Attempting to upload a file,Deborah Hunter,,,
1659,2024-01-02 06:07:35,2024-02-06 16:30:20,206.174.99.211,126.91.142.205,Poseidon,fwilliams@mays.com,"upload {""file_id"":""fba94ea9-392e-47e6-ba14-b926c198995e"",""remote_path""/production/tough.wav"",""overwrite"":false}","PID 10980, Callback 52",Success,Attempting to upload a file,Richard Mcbride,,,
1660,2024-01-05 04:28:50,2024-01-26 06:23:56,155.225.136.72,84.240.138.150,OST,johngross@jones.com,python3 CloudScraper.py -u aguilar.com >> /deal/more.txt,PID: 22835,Success,Navigating to a directory,Deborah Hunter,,,
1661,2024-03-20 18:42:50,2024-03-20 18:42:50.308016,112.130.185.251,35.79.43.142,Cobalt Strike,sarahallen@combs-anderson.com,cd /work/draw/event/training,PID 15662,Success,Navigating to a directory,Deborah Hunter,,,
1662,2024-05-14 08:47:49,2024-05-14 08:47:49.527620,163.193.224.188,126.91.142.205,Cobalt Strike,hendersonjohn@dalton-lam.com,sleep 59,PID 14288,Failed,Sleeping a beacon,Richard Mcbride,,,
1663,2024-03-31 04:06:53,2024-03-31 04:06:53.097459,42.118.146.148,157.2.65.239,OST,seanlopez@green-bullock.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Success,Using BBOT safe and passive modules,Richard Mcbride,,,
1664,2024-05-09 08:20:05,2024-05-09 08:20:05.666535,163.193.224.188,84.240.138.150,Poseidon,hendersonjohn@dalton-lam.com,pty kubectl get namespaces,"PID 1034, Callback 17",Success,Conducting container discovery,Christy Green,,,
